tweet,Compund_Score,Sentiment
Exchange Student Online Teaching Campus LPTK Campus NGO WORKING RICH UNJ UPI UNP UNIMED DSB ACTIVITIES TEACHING SYSTEMS UNIV TEACHING VALUE OF CONVERSION SIAKAD,0.8159,Positif
GESSS UNJ for the link see the status of the UKT Siakad Seinget Link Status,0.0,Positif
UNJ Hello Sorry for Permission Kaka Level Using Kipk Maba Kipk When opening Siakad Write Gin Waiting for Paying Ukt is Abis Behind the Liquid Kipk Thank you,0.296,Positif
eh ask you login siakad unj kgk,0.0,Positif
Student Ecek Status Leave the Siakad Account Pay Leave,-0.2023,Negatif
UNJ does not provide absent web siakad kt campus drpd using gnif pj,0.0,Positif
"Siakad Error, the contents of the krs can't pay ukt the schedule too.",-0.3408,Negatif
WD Continue to Let Letter Please Application Study Program Application Application Write Disposition Letter Bakhum Bakhum Process Student Leave Status Siakad,0.7603,Positif
"Hello freshmen UNJ deh username sm pw siakad account, how do you not understand please help thanks",-0.0823,Negatif
"UNJ Siakad Displays the Day like this, how it is difficult to fill it",0.0,Positif
MABA UNJ SIAKAD GIN,0.0,Positif
Solutions guys Status Pay Siakad Appears How to UJ,0.0772,Positif
siakad unj can't pay the status but pay nnt to write it off or not,-0.1159,Negatif
UNJ SIAKAD SENDER GK PAY STATUS,-0.1027,Negatif
Siakad Unj Didik Website Ads,0.0,Positif
Unj download khs siakad or not error,0.3089,Positif
"ehh yeah, really, siakad has closed the krs, open again, but all",0.1531,Positif
the handover of the file passed the November stage of the November graduation stage,0.0,Positif
limit of the contents of the final assignment value of the november stages of the November Stage of the October Stage of the October Stage of the November online file,0.34,Positif
siakad unj can't open,0.0,Positif
UNJ SIAKAD,0.0,Positif
"UNJ joins the Permatasari program, yes, the value is the empty sender Siakad",0.5106,Positif
UNJ guys the bad grade grade of the lecturer offers the revision of the intention of repeating the class of the Siakad value changed,-0.2732,Negatif
"UNJ if forgot the username with the password siakad gaa if you login to change, what do you like forgot the password, not thanks",0.0243,Positif
"Guua forgot the PW email UNJ I GRGR, I just opened the Siakad Siakad.",0.0,Positif
UNJ Take Matkul MBKM Unpad Siakad's Entrance Value,0.34,Positif
UNJ UDH Fill in the Evaluation of the Siakad Lecturer,0.0,Positif
"Congratulations get a ticket for wkwk, thank you seconds the server website is good server siakad unj",0.8519,Positif
Drive to Lo Siakad Unj,0.0,Positif
I swear I hate siakad UNJ,-0.5994,Negatif
Siakad UNJ is ugly like a gambling website or not,-0.2023,Negatif
cm Uj Siakad LG Error Child Open Siakad Daritadi,-0.4019,Negatif
The weight of the SKS BTW KHS Siakad Unj's SKS Value Leaks Morning,0.34,Positif
Limits of Graduation List Junu Stage Handling Graduation File Validation File File Candidates Candidates in June Graduation Stage July Content Limits of Final Project Value Scriptics Siakad Siakad,0.34,Positif
LOGIN SIAKAD UNJ ACCOUNT select the Academic menu Select the Study Results Card. Select Semester Contents of Lecture Evaluation,0.0,Positif
why now the contents of EDOM UNJ Dr. Siakad Dr. Genforman aka a hassle,0.0,Positif
"cm Uj Morning Child Looks Niiai smt, you know, re -check, it's really scared of the niianya changed sis sis siakad suddenly changed",-0.4927,Negatif
Completed study of the contents of the final project value of the Siakad Scriptsis of the May Judicial Limit in May,0.34,Positif
open siakad um stray unj first,0.0,Positif
"UNJ can get a transcript of pdf form values how about the cumulative semester semester semester, so thank you sis",0.7133,Positif
UNJ DHS MATKUL TURPE TO THE RELATED OF THE PASS PASS ENGINEED TEETING STILL BE BEGN,0.0,Positif
cm guys the child of UNJ Log in Siakad UNJ Username using nimapa deh forgot,0.0,Positif
yaallah mo npwp online kek enter siakad unj when filling in krs,0.0,Positif
Aesthetic Goddess is Siakad UNJ wkwk,0.0,Positif
UNJ Hello DHS Siakad Results Unj semester print semester requires DHS semester Pas Print Semester Value Blm NIALI,0.34,Positif
FLOWS REGISTRATION REGISTER OF THE BASH CARD OF IMPLEMENTS UNJSCREENSHOT KRSSIAKAD Proof,0.0,Positif
UNJ can not download the transcript of the Siakad Value Solution,0.5719,Positif
FLOWS REGISTRATION REGISTER OF THE BASH CARD OF IMPLEMENTS UNJSCREENSHOT KRSSIAKAD Proof,0.0,Positif
try checking junkspam email nderr oiya email make unjacid clay siakad,0.0,Positif
"siakad unj tu again error, how about the ips lt, take the SKS adjust to the summons",-0.4019,Negatif
hah the child of UNJ wkwkkw siakad mah error mulu night is safe,0.0516,Positif
Bring Dra Yuniarsih Mhum Med MBKM Curriculum Material ACADEMIC ACADEMIC BAJU MEILANI PRASETIO SS MPD AVAILABLE VIDEO OF KRS KRS SIAKAD UNJ UNJ CULTURE MATERIAL ETHICS MATERIALS NIHONGO GOODO,0.0,Positif
web unj constraints Penmaba UKT SPU Siakad SPU,0.0,Positif
Siakad UNJ,0.0,Positif
UNJ NGAJAIN CUT UKT already cut the UKT check Siakad change,-0.6037,Negatif
Graduation of November Stage Limits of the Content of the Final Project Value of Scriptics of Siakad,0.34,Positif
UNJ MATKUL SEMPRO Double Siakad Apus BL Ngarik Dhs how do you already contact the Telegram Pusticom but the Governor,0.3646,Positif
UNJ has paid UKT but the status of paying has not changed which reports,0.0,Positif
UNJ HPS MATKUL BL SIAKAD GMN already repeated the matkul tsbt double siakad pls help,0.7925,Positif
Siakad UNJ Error already paid UKT SMT there was no light in Siakad,-0.5994,Negatif
UNJ Status Paying UKT is really updated bombs,0.0,Positif
UNJ HAVE PAIK UKT PAY STATUS Has Not Siakad Appears,-0.2808,Negatif
"UNJ Yesterday, SMT Submission to Change the UKT goal has come down the SK name down the name TD Paying Siakad Paying BNI Bank Nominal before going down gmn udh advo study program is told to wait long to contact you",0.0,Positif
After studying the contents of the Final Project Value Scriptsis of Siakad October Stage of the October Stage of Yudisium Stage,0.34,Positif
"let's see good, of course fill in the cool link, the name according to the type of constraints, click the link below, please match the mobile number, help the quota data number siakad",0.8689,Positif
yesterday yesterday apus matkul double siakad using a laptop please show boss,0.3182,Positif
"Fill in the Evaluation of the Student Lecturer Halo Young Friend UJ, fill in the evaluation of the Siakad lecturer, let's fill in the contents, the contents are open on July, the contents of the Student Lecturer Evaluation",0.4939,Positif
Please change Siakad Biodata number Aju number provider Indosat Simpati Byu Axis XL Tri Name Tera File Step No Contents Data Link,0.1779,Positif
let's fill in the way below the Siakad login select academic select the study card select semester select semester selecting lecture evaluation,0.0,Positif
Login Siakad UNJ account select the academic menu select the card results semester semester content evaluation of EDOM LATA NATURAL,0.4995,Positif
for a moment the semester forgot the contents of EDOM Evaluation of Siakad Student Lecturers,0.0,Positif
Fill in EDOM Hello friend TPM Semester Forgot to Fill in the Evaluation of Student Lecturers in Siakad Account Yaa Fill in EDOM JULI KEEP HEALTHY SPIRIT,0.8429,Positif
LOGIN SIAKAD UNJ ACCOUNT select the Academic menu Select the Study Results Card. Select Semester Contents of Lecture Evaluation,0.0,Positif
"Flow Data Check the name Tuut, please check the name of the type of obstacle for search features Easy to open the siakad unj page enter the menu",0.4019,Positif
UNJ Fill in the EDOM academic calendar schedule how to conduct the Siakad database,0.0,Positif
siakad unj can't open,0.0,Positif
Siakad UNJ,0.0,Positif
access to the application website what smoothly goes to open the campus website teaching campus siakad unj is not really good,-0.3865,Negatif
Siakad UNJ is an error,-0.4019,Negatif
"Hello brother, sister, the regulation of the UNJ schedule, how many classmates study programs, I told the class to delete the KRS, the sexy code entered the siakad already according to the KY study program",0.5267,Positif
UNJ Study SEM has changed the nominal Siakad Paying UKT,0.0,Positif
Siakad UNJ Appears Already Good,0.4404,Positif
Siakad UNJ Kampret Ni,0.0,Positif
"UNJ got the UKT Scholarship Kemendikbud, try checking the bank, just checked, I had already cut the Bank Siakad changed",-0.2732,Negatif
Look rich siakad wkwkw nax unj,0.5574,Positif
the handover of the graduation file validation of the graduation candidate files in the May graduation stage,0.0,Positif
General Value of Final Project Course Thesis July Thesis Good Jalan Jalan Jalan August Completed Study Limit Contents Final Project Value Scriptics Siakad,0.7717,Positif
I can forget the Siakad UNJ password,-0.2263,Negatif
UNJ Asking Bem Advocacy Children Further Ukt How to Pay Semester Pay Double Siakad Pay My Write Write Degdegan Tanankyou,-0.296,Negatif
"I have told to tell the contents of Siakad's cellphone number, Sabarin UNJ is",0.0772,Positif
UNJ understands the purpose of uploading data menu PD Dikti Siakad,0.0,Positif
Train Mental Ospek Filling KRS Siakad UNJ,0.0,Positif
tomorrow auto ilang nim siakad ngeunting lecturer UNJ,0.0,Positif
UNJ Hayoo Semmrn Gada Siakad Yup Yup Forgot the Evaluation of the Siakad Lecturer Value Sem Kmrn Gada,0.34,Positif
ujo access siakad chrome really dizzy how to do the cellphone,-0.2944,Negatif
siakad unj error,-0.4019,Negatif
UNJ Login Siakad Gabisa,0.0,Positif
UNJ CLOSE PAYING UKT BSK BSK BRP FEAR,-0.4939,Negatif
UNJ Daritadi Liatin I already filled KRS I was confused I am nominal atm Siakad changed the contents of the KRS to be free in the Rector's Decree I lacked I was confused,-0.0772,Negatif
UNJ passed the free UKT but check the banking to change the SM Siakad too,0.2846,Positif
UNJ guys ask checking already cut out how mbanking has a siakad like that,0.1027,Positif
Gada beat Erraoran Siakad UNJ,0.0,Positif
Uj Gais I Benethink Ria Waiting Decree of the Chancellor Decree Tomorrow Ye Nominal Siakad Uba Date Wkwkwkw Ready to be full of shock,-0.0258,Negatif
siakad unj business advertising business institution,0.0,Positif
Asking the child of UNJ Siakad Error Fill in KRS GK cm,-0.4019,Negatif
rich siakad unj is really UNJ,0.5574,Positif
"cm guys children unj pay ukt trf mbanking already paid on August until the status of paying siakad paid how to pay, thank you",0.1779,Positif
UNJ Get Kjmu Paying Status Siakad Pay Normal,-0.1027,Negatif
UNJ GOES VALUE SIAKAD ALREADY FIXKAHH ATO STILL SABI CHANGE SAACIW DAH MO,0.34,Positif
really awkwkwkw siakad unj,0.0,Positif
siakad unj hyung wkwk,0.0,Positif
Rupeted Cac,0.0,Positif
"UJ I lifted when I was smt the link so I opened the value of the siakad very excited, the grades of the age of freshmen now I have been really bodo online gin",0.624,Positif
Siakad UNJ,0.0,Positif
Siakad UNJ BKN NDER I GIN then take care of Bakhum,0.4939,Positif
UNJ DEL NMR Lo List Siakad Meaning,0.0,Positif
limit of the contents of the final assignment value of the Siakad January stages of January Judicial Limit Diploma Masters in the February Stage Judicial Limits of Doctoral Graduation Levels of February,0.34,Positif
January Dissertation Test Completed Study Limit Contents Final Project Value Scriptsis of Siakad October Stage Judicial Limit Diploma Masters in October,0.34,Positif
"Ohh, some of the UNJ COVID also students can subsidize the GBBER GBBAH VERIFICATION NOHP SIAKAD SURVEY SURVEAR KULON ADA.",0.0,Positif
"Malem was shocked to subsidize credit unj down when checking the cellphone in panic immediately check siakad afraid of input the phone number wrong when check right, send the panic panic stage of the magic",-0.9081,Negatif
"UNJ Bureaucratic Class sometimes reaches the info, why tell the student to hurry and write the cellphone number Siakad helps the package but gives cm Indosattelkomsel so it's wrong and then I will be wrong",-0.8256,Negatif
handover of Telkomselindosat Student Mobile Number Direct Quota Telecommunications Provider Telkomselindosat Student Mobile Number Incorporations Enter Siakad UNJ's cellphone number data,0.2263,Positif
Help the Giga Pandemi Teaching Campus quota Number Telkomselindosat Mobile Student Must Report Unj Siakad UNJ SIAKAD UNJ Data HP Number Data,0.5106,Positif
"Students belonging to the number outside the provider buying the prime number of Telkomsel, the money buying the prime number, replace the list of siakad unj top up emoney Rp.",0.4019,Positif
Official Student UNJ PROGRAM GIVE UNJ Quota Entering Telkomsel Number Enter Siakad Number Entering Wrong Data Number correct Quota Number,-0.2263,Negatif
"Min, UNJ Student, Program, Give the UNJ quota, enter the Telkomsel number, enter the Siakad number, the number of data is correct, the correct quota number data",0.296,Positif
"Official min use the siakad system by the validated number, it can't change the tsel number",0.3612,Positif
Official Help SK down Siakad Ready System Info,0.6369,Positif
Siakad Sihhh bca like that the UNJ account comment is like that but forgot to office too,0.3612,Positif
Friends of the Weather Information Update Siakad's cellphone number PJJ Mobile Number Change,0.5719,Positif
Let's update revalidation of Siakad mobile number PJJ Mobile Number Slow Wednesday April WIB Free Quota Passed,0.5994,Positif
INFO UNJ FREE quota passed Hello friend TPM Active Student UNJ Update Siakad's cellphone number Long news of the validation,0.8816,Positif
"Jakarta State University UNJ Selembled Teaching Distance PJJ PJJ Selear UNJ helps the internet quota of active students, please update the cellphone number of Siakad students",0.7845,Positif
Update Data on Siakad Student Mobile Number Halo Mpers follow up on UNJ Circular Letter about Alert Level Efforts to Prevent Covid PJJ Seleculgara Unj Unj Internet Quota Active Student UNJ,0.6486,Positif
UNJ Active Students Update Siakad's cellphone number PJJ Mobile Number Change Slow Sunday April WIB,0.5106,Positif
"Let's update the Siakad Student Mobile Number Data Hello, TPM Friend, follow up on the SRT Circular Unj. Alert Efforts to Prevent Covid PJJ can be a loss of the internet, there will be an internet quota for active students.",0.7351,Positif
"cm, let's forget, I forgot to update the telephone number, siakad",-0.1531,Negatif
Students receive KJMU UNJ Disfits Mandatory Gathering Calling Accounts Proof of Payment of Lecture Missing due to Burn Pusticom Effect of Complete Siakad Pay Status,-0.3182,Negatif
meanwhile unj siakad error how to study online,-0.4019,Negatif
One of the lecturers of Aing UNJ Lecture Onlen Fear the broken system wkwk siakad still error,-0.8402,Negatif
Siakad replace the UNJ UNJ's Error Server ID,-0.4019,Negatif
Think as chaotic as siakad unj open,-0.4939,Negatif
Nokurnal Yee Siakad's Unj's child until Gin's clock,0.0,Positif
for siakad unj missing,-0.296,Negatif
cm Excuse me to ride siakad unj open,0.0772,Positif
Dosma Lecture UNJ Name Dosma I EDOM SIAKAD GADA EFFECT TO GADA GADA CHANGE,0.0,Positif
Siakad UNJ is really anjinggggg,0.0,Positif
"cm calling to students of UNJ KHS already printed guys siakad, hopefully",0.4019,Positif
"Hello friend TPM how are the uas already finished, hopefully the results of the results, forgot to the contents of the student evaluation, the student lecturer is slow",0.7096,Positif
Siakad UNJ,0.0,Positif
Siakad UNJ,0.0,Positif
Definition of a Kuda Kuda Pas Pas Maba Unj Siakad,0.0,Positif
Malikk I remember Siakad UNJ asking the campus transportation wkwkwkwk,0.0,Positif
the value of siakad unj hope the jokes of the monton pusticom,0.743,Positif
Siam Ub like Siakad UNJ SIAKAD UNJ like before,0.6124,Positif
Apps Immigration Kek Siakad UNJ,0.0,Positif
yaallah uj unj siakad no error salute salute,0.3089,Positif
"Fill in the Evaluation of the Lecturer Assalamualaikum Warahmatullahi Wabarakatuh Hi, friend, EA, active student FE UNJ is obliged to fill in the monitoring of the Siakad website",0.7096,Positif
"imaginary UNJ Kek this, but what should I do",0.0,Positif
UNJ Allah Siakad my campus is finished and nyhe wkwkwk,0.0,Positif
Adkesma Center Info New Lecture Sites Tauut Siakad over Taut Tuut Dept Adkesma Bemp English Literature,0.0,Positif
Thank you unjgaragara siakad,0.3612,Positif
really resentful open siakad unj open khs gabisa,-0.5256,Negatif
excuse me hitchhike heh eval lecturer contents via siakad during college semester name evaluation of UNJ Anselm Asdos lecture when the test is obtained,-0.0772,Negatif
siakad unj trash,0.0,Positif
Official min input KRS Siakad is difficult yesterday Turned Eh Date Already Limits of Contents How Minuota Full,-0.3612,Negatif
Siakad Damaged to Disturb Lecture Good Siakad UNJ Continue to Lecture due to Natural Lecturer Students Difficult Fill in Complete Study Plan Card,-0.4019,Negatif
Below the tagline of UNJ Siakad UNJ Lecturer,0.0,Positif
already siakad lg stupid,-0.5267,Negatif
"The official web is really bad, it's a little bit out.",-0.5849,Negatif
siakad unj pimpas bat dahhhh,0.0,Positif
siakad unj practice patiently,0.0,Positif
siakad unj you haven't been not dea,0.0,Positif
siakad unj breath of Allah,0.0,Positif
patientrrrrrrrrrrrrrrrrrrrrrrrrrrr,0.0,Positif
Daniel's ig ngeelin keki siakad unj oath,0.0,Positif
"Siakad UNJ you're right, HFT is really open, eh, I changed the value to add to the lack",0.0258,Positif
siakad unj uga sister huf,0.0,Positif
Hadeehhh siakad unj gapernah ruts trash,0.0,Positif
Kabeh Fadhila eh Siakad UNJ,0.0,Positif
Siakad Really Woi Official,0.0,Positif
Official Min Siakad Unj Msh crash,-0.4019,Negatif
Siakad UNJ ERROR DATA DATA DATA STUDENTS SITU HAVE PASSED,-0.5319,Negatif
Students are bothered due to the damaged Siakad Siakad server deer academic disrupts because the fencing is to maintain the Siakad Maintenance Server,-0.6369,Negatif
"to him, it is really an error, the wqwq is siakad, the error",-0.6887,Negatif
Info Adkesma Open Pay Pay Side Bonjour Tous Comment Allez Vous Mes Amis Kait Baharu System Siakad UNJ Open Pay Pay Records Date February Bon Courage,0.1531,Positif
sad siakad unj,-0.4767,Negatif
"oalah siakad ui the problem of siakad unj is very rotten, bro",-0.7425,Negatif
what unj can open siakad,0.0,Positif
Advo Center Hello Friend Mandiri Info Siakad Number of Circular Letter Unjkm Layan Bakh Following up on the letter UPT ICT Number Untu Date December More Info Shinta Advocacy Bemp Ptik,0.5859,Positif
SSCN Siakad UNJ,0.0,Positif
Official Min Asking Username Siakad UNJ Please Dibales Min,0.3182,Positif
Official Pusticom Bakar How Kabar Siakad,0.0,Positif
Confirmed Siakad UNJ is indeed a transportation option using a sjamshsmfhakslsk horse,0.0,Positif
siakad unj see my GPA,0.0,Positif
siakad unj's web shop bighit is hard to open,-0.1027,Negatif
Login Siakad Account Page Click the left corner line icon select the academic menu Enter the list of scroll studies under the contents of the lecture evaluation according to Hamdallah said,0.0,Positif
SD August Siakad page Narahabung Maudy Facebook Bemp Didik English Language Unj Twitter EnglishJun Instagram English Youtube YouTube Bemp Didik English Uj Line,0.0,Positif
Raise FIP FBS FMIPA FIO FPSI Bank BTN Raise Fis FE FT FT Bank Mandiri Bank Bukopin Fill in KRS Semester SD Augustus Siakad Luan Luan Date of the Process,0.0,Positif
good semester value of July August July August Thesis Test Week August Contents Siakad Thesis Value August Limits of Graduation List August Limits of Graduation Files,0.7717,Positif
UNJ KL BLM BGT MOVE SIAKAD What are you doing,0.0,Positif
Lebig Set open the web siakad unj wkwkwk,0.0,Positif
How the heck is Siakad Error and can continue to fill the graduation file,-0.4019,Negatif
Siakad UNJ Gosh,0.0,Positif
"Official Admin Siakad, how can you log in to the KRS contents",0.0,Positif
Anjir UNJ Siakad but completed Gin to fill in KRS in the field,0.0,Positif
Come directly pusticom the login problem with Siakad,-0.4019,Negatif
Official Asking Open Siakad The Password is wrong according to love,0.2732,Positif
Official Tlong Admin failed and then Siakad PDHL Bru Bru Tdi in the morning registration then dpet nim password but failed then then,-0.765,Negatif
new senses,0.0,Positif
Siakad Change the Data Version of Active UNJ AMAN Student,0.4019,Positif
Kiostix website already like siakad unj likes to fail access,0.2023,Positif
try hacking siakad unj fixing the admin value of pas smt,0.34,Positif
miss the access siakad unj try the online train tickets for the Lebaran Podo Wae,-0.1531,Negatif
INFOOO Hope the Complete Student of Siakad Biodata,0.4404,Positif
Official Open Siakad How come the advertisements are like that now now,0.3612,Positif
Official Siakad Results KHS Min,0.0,Positif
Official Min Siakad UNJ Terang Khs Please point to point,0.3182,Positif
"I don't know the child, but if you see the ip siakad sis",0.0,Positif
Unj Siukat Min Different Siakad,0.0,Positif
feel like opening siakad unj error,-0.0516,Negatif
I swear the nets of the siakad unj,-0.0516,Negatif
"Official Min Login Siakad Min, the user password is already complete",0.0,Positif
Friday August Deputy Rector GD Rectorate of UNJ Campus Jl Rawamangun Muka East Jakarta Sumber Siakad UNJ,0.0,Positif
Info Siakad Maba Snm Path Sbm Silah Fill in Biodata Contents,0.0,Positif
MABA UNJ Asking Siakad Already Fill,0.0,Positif
Official Sis ISI SIAKAD STUDENTS SBMPTN,0.0,Positif
